"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","character_maximum_length","character_octet_length","numeric_precision","numeric_precision_radix","numeric_scale","datetime_precision","interval_type","interval_precision","character_set_catalog","character_set_schema","character_set_name","collation_catalog","collation_schema","collation_name","domain_catalog","domain_schema","domain_name","udt_catalog","udt_schema","udt_name","scope_catalog","scope_schema","scope_name","maximum_cardinality","dtd_identifier","is_self_referencing","is_identity","identity_generation","identity_start","identity_increment","identity_maximum","identity_minimum","identity_cycle","is_generated","generation_expression","is_updatable"
"postgres","public","dim_users","0",1,"","YES","bigint","","",64,2,0,"","","","","","","","","","","","","postgres","pg_catalog","int8","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","0.1",2,"","YES","bigint","","",64,2,0,"","","","","","","","","","","","","postgres","pg_catalog","int8","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","0.2",3,"","YES","bigint","","",64,2,0,"","","","","","","","","","","","","postgres","pg_catalog","int8","","","","","3","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","Sigfried",4,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","4","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","Noack",5,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","5","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","1990-09-30",6,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","6","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","Heydrich Junitz KG",7,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","7","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","rudi79@winkler.de",8,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","8","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","Zimmerstr. 1/0
59015 Gießen",9,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","9","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","Germany",10,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","10","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","DE",11,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","11","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","+49(0) 047905356",12,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","12","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","2018-10-10",13,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","13","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_users","93caf182-e4e9-4c6e-bebb-60a1a9dcf9b8",14,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","14","NO","NO","","","","","","NO","NEVER","","YES"
